ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2018;5;17;2;3;5;2;0;1;1;0;0;0;0;0;9.919348735;53.564014088
2;2018;4;20;4;3;4;3;2;1;0;0;0;0;0;1;9.91649692;53.564449333
2;2018;1;6;5;3;2;6;2;0;0;0;0;0;1;1;10.136668922;53.526141261
2;2018;2;11;1;2;8;1;0;0;1;0;0;0;0;1;9.922112105;53.452625058
2;2018;4;18;6;3;5;2;0;1;1;0;0;0;0;0;10.034348241;53.564080372
2;2018;3;14;1;2;2;7;0;0;1;0;0;0;0;0;9.965023091;53.58096646
2;2018;4;12;7;3;3;6;0;0;1;0;1;0;0;0;10.015015313;53.517461129
2;2018;1;18;2;3;3;6;2;0;1;0;0;0;0;1;9.86226021;53.471434338
2;2018;3;8;7;3;2;2;0;0;1;0;0;0;0;0;10.10040046;53.539338338
2;2018;5;9;3;3;5;3;0;1;0;0;0;0;0;0;9.938536649;53.625119005
2;2018;4;6;3;3;3;6;0;0;1;0;0;0;0;0;10.024111524;53.542802004
2;2018;1;6;1;3;1;6;2;0;1;0;0;0;1;1;10.015356911;53.54616743
2;2018;2;21;2;2;5;7;2;0;1;0;0;1;0;0;9.929211965;53.563488247
2;2018;1;19;4;2;3;6;2;1;0;0;0;0;1;1;9.94486344;53.563063091
2;2018;5;10;6;3;3;6;0;0;1;0;0;1;0;0;9.992329264;53.457572973
2;2018;3;14;6;3;3;6;0;0;1;0;0;0;1;0;10.008770454;53.547790695
2;2018;1;6;2;3;9;1;2;0;1;0;0;0;0;2;10.059007952;53.509250159
2;2018;2;7;6;3;1;6;0;0;1;0;0;0;1;0;9.959329539;53.574466823
2;2018;4;7;4;3;6;2;0;0;1;1;0;0;0;1;9.945396687;53.471049889
2;2018;3;11;4;3;1;6;0;0;1;0;0;0;0;0;10.032551124;53.539481145
